00:00:16.927 [scheduling-1] INFO  c.f.s.DailyScheduled - [morningCheck,24] - 开始进行晨检......
08:38:45.625 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,181] - Initializing ExecutorService 'taskScheduler'
08:38:45.738 [main] INFO  c.f.s.i.CheckServiceImplTest - [logStarted,61] - Started CheckServiceImplTest in 4.618 seconds (JVM running for 6.281)
08:38:46.137 [main] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
08:38:46.678 [main] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
08:38:49.509 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskScheduler - [shutdown,218] - Shutting down ExecutorService 'taskScheduler'
08:38:49.512 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - [shutdown,218] - Shutting down ExecutorService 'applicationTaskExecutor'
08:38:49.513 [SpringContextShutdownHook] INFO  c.z.h.HikariDataSource - [close,350] - HikariPool-1 - Shutdown initiated...
08:38:49.523 [SpringContextShutdownHook] INFO  c.z.h.HikariDataSource - [close,352] - HikariPool-1 - Shutdown completed.
08:55:47.343 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
08:55:47.375 [main] INFO  c.f.s.i.UserServiceImplTest - [logStarting,55] - Starting UserServiceImplTest on DESKTOP-KSVGB5Q with PID 17540 (started by Dakuang in E:\fuckwzxy)
08:55:47.378 [main] INFO  c.f.s.i.UserServiceImplTest - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
08:55:50.758 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - [initialize,181] - Initializing ExecutorService 'applicationTaskExecutor'
08:55:51.327 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - [initialize,181] - Initializing ExecutorService 'taskScheduler'
08:55:51.435 [main] INFO  c.f.s.i.UserServiceImplTest - [logStarted,61] - Started UserServiceImplTest in 4.759 seconds (JVM running for 6.533)
08:55:51.758 [main] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
08:55:52.184 [main] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
08:55:55.692 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskScheduler - [shutdown,218] - Shutting down ExecutorService 'taskScheduler'
08:55:55.694 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - [shutdown,218] - Shutting down ExecutorService 'applicationTaskExecutor'
08:55:55.696 [SpringContextShutdownHook] INFO  c.z.h.HikariDataSource - [close,350] - HikariPool-1 - Shutdown initiated...
08:55:55.711 [SpringContextShutdownHook] INFO  c.z.h.HikariDataSource - [close,352] - HikariPool-1 - Shutdown completed.
09:46:48.214 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.1.5.Final
09:46:48.244 [main] INFO  c.f.FuckwzxyApplication - [logStarting,55] - Starting FuckwzxyApplication on DESKTOP-KSVGB5Q with PID 17664 (E:\fuckwzxy\target\classes started by Dakuang in E:\fuckwzxy)
09:46:48.245 [main] INFO  c.f.FuckwzxyApplication - [logStartupProfileInfo,651] - No active profile set, falling back to default profiles: default
09:46:49.947 [main] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 8888 (http)
09:46:49.965 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8888"]
09:46:49.966 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
09:46:49.967 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.38]
09:46:49.969 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
09:46:49.969 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
